x,y,z,label
2195.338624,2100.612991,775.2246197,0
2195.338624,2100.612991,775.2246197,0
2195.338624,2100.612991,775.2246197,0
2195.338624,2100.612991,775.2246197,0
2195.338624,2100.612991,775.2246197,0
2198.335773,2135.525034,764.7856461,0
2198.335773,2135.525034,764.7856461,0
2198.335773,2135.525034,764.7856461,0
2198.335773,2135.525034,764.7856461,0
2198.335773,2135.525034,764.7856461,0
2198.335773,2135.525034,764.7856461,0
2198.335773,2135.525034,764.7856461,0
2198.335773,2135.525034,764.7856461,0
2108.852309,2125.786649,685.6801218,0
2108.852309,2125.786649,685.6801218,0
2108.852309,2125.786649,685.6801218,0
2108.852309,2125.786649,685.6801218,0
2108.852309,2125.786649,685.6801218,0
2108.852309,2125.786649,685.6801218,0
2108.852309,2125.786649,685.6801218,0
2108.852309,2125.786649,685.6801218,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2149.600931,2110.37111,714.5319843,0
2203.185801,2105.48083,755.1661322,0
2203.185801,2105.48083,755.1661322,0
2203.185801,2105.48083,755.1661322,0
2203.185801,2105.48083,755.1661322,0
2203.185801,2105.48083,755.1661322,0
2203.185801,2105.48083,755.1661322,0
2203.185801,2105.48083,755.1661322,0
2203.185801,2105.48083,755.1661322,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2189.172021,2077.398173,750.695064,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2162.768485,2094.741994,775.7716751,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2117.810397,2103.868742,688.0163274,0
2231.147025,2098.011276,761.2431675,0
2231.147025,2098.011276,761.2431675,0
2231.147025,2098.011276,761.2431675,0
2231.147025,2098.011276,761.2431675,0
2231.147025,2098.011276,761.2431675,0
2231.147025,2098.011276,761.2431675,0
2231.147025,2098.011276,761.2431675,0
2231.147025,2098.011276,761.2431675,0
2131.431382,2092.077131,682.7854105,0
2131.431382,2092.077131,682.7854105,0
