x,y,z
1721 ,3756 ,554 
1721 ,3756 ,554 
1721 ,3756 ,554 
1721 ,3756 ,554 
1721 ,3756 ,554 
1721 ,3756 ,554 
1721 ,3756 ,554 
1739 ,3785 ,581 
1739 ,3785 ,581 
1739 ,3785 ,581 
1739 ,3785 ,581 
1739 ,3785 ,581 
1739 ,3785 ,581 
1739 ,3785 ,581 
1739 ,3785 ,581 
1739 ,3785 ,581 
1682 ,3734 ,547 
1682 ,3734 ,547 
1682 ,3734 ,547 
1682 ,3734 ,547 
1682 ,3734 ,547 
1682 ,3734 ,547 
1682 ,3734 ,547 
1682 ,3734 ,547 
1745 ,3719 ,546 
1745 ,3719 ,546 
1745 ,3719 ,546 
1745 ,3719 ,546 
1745 ,3719 ,546 
1745 ,3719 ,546 
1745 ,3719 ,546 
1745 ,3719 ,546 
1691 ,3755 ,518 
1691 ,3755 ,518 
1691 ,3755 ,518 
1691 ,3755 ,518 
1691 ,3755 ,518 
1691 ,3755 ,518 
1691 ,3755 ,518 
1691 ,3755 ,518 
1691 ,3755 ,518 
1730 ,3736 ,513 
1730 ,3736 ,513 
1730 ,3736 ,513 
1730 ,3736 ,513 
1730 ,3736 ,513 
1730 ,3736 ,513 
1730 ,3736 ,513 
1730 ,3736 ,513 
1669 ,3744 ,556 
1669 ,3744 ,556 
1669 ,3744 ,556 
1669 ,3744 ,556 
1669 ,3744 ,556 
1669 ,3744 ,556 
1669 ,3744 ,556 
1669 ,3744 ,556 
1687 ,3692 ,513 
1687 ,3692 ,513 
1687 ,3692 ,513 
1687 ,3692 ,513 
1687 ,3692 ,513 
1687 ,3692 ,513 
1687 ,3692 ,513 
1687 ,3692 ,513 
1687 ,3692 ,513 
1728 ,3733 ,571 
1728 ,3733 ,571 
1728 ,3733 ,571 
1728 ,3733 ,571 
1728 ,3733 ,571 
1728 ,3733 ,571 
1728 ,3733 ,571 
1728 ,3733 ,571 
1751 ,3752 ,581 
1751 ,3752 ,581 
1751 ,3752 ,581 
1751 ,3752 ,581 
1751 ,3752 ,581 
1751 ,3752 ,581 
1751 ,3752 ,581 
1751 ,3752 ,581 
1751 ,3752 ,581 
1711 ,3731 ,532 
1711 ,3731 ,532 
1711 ,3731 ,532 
1711 ,3731 ,532 
1711 ,3731 ,532 
1711 ,3731 ,532 
1711 ,3731 ,532 
1711 ,3731 ,532 
1676 ,3715 ,537 
1676 ,3715 ,537 
1676 ,3715 ,537 
1676 ,3715 ,537 
1676 ,3715 ,537 
1676 ,3715 ,537 
1676 ,3715 ,537 
1676 ,3715 ,537 
1671 ,3733 ,525 
1671 ,3733 ,525 
1671 ,3733 ,525 
1671 ,3733 ,525 
1671 ,3733 ,525 
1671 ,3733 ,525 
1671 ,3733 ,525 
1671 ,3733 ,525 
1671 ,3733 ,525 
1701 ,3726 ,578 
1701 ,3726 ,578 
1701 ,3726 ,578 
1701 ,3726 ,578 
1701 ,3726 ,578 
1701 ,3726 ,578 
1701 ,3726 ,578 
1701 ,3726 ,578 
1699 ,3746 ,528 
1699 ,3746 ,528 
1699 ,3746 ,528 
1699 ,3746 ,528 
1699 ,3746 ,528 
1699 ,3746 ,528 
